time,vx,vy,vz,psi_dot
1.334999999999999964e+01,1.219816017150878906e+01,-7.881391048431396484e+00,-8.805787563323974609e-01,-3.238096237182617188e-01
1.335999999999999943e+01,1.332321929931640625e+01,-8.432538986206054688e+00,-1.212823390960693359e-01,-2.901880741119384766e-01
1.337000000000000099e+01,1.221624374389648438e+01,-7.812770843505859375e+00,-8.454298973083496094e-01,-3.222038745880126953e-01
1.338000000000000078e+01,1.333611488342285156e+01,-8.348167419433593750e+00,-8.853197097778320312e-02,-2.880482673645019531e-01
1.339000000000000057e+01,1.222956848144531250e+01,-7.733096122741699219e+00,-8.145606517791748047e-01,-3.194220066070556641e-01
1.340000000000000036e+01,1.334287166595458984e+01,-8.258618354797363281e+00,-6.152272224426269531e-02,-2.847108840942382812e-01
1.341000000000000014e+01,1.224035072326660156e+01,-7.644618988037109375e+00,-7.852506637573242188e-01,-3.155615329742431641e-01
1.341999999999999993e+01,1.334465503692626953e+01,-8.159708023071289062e+00,-3.865361213684082031e-02,-2.805061340332031250e-01
1.342999999999999972e+01,1.224603652954101562e+01,-7.546625137329101562e+00,-7.593369483947753906e-01,-3.108017444610595703e-01
1.343999999999999950e+01,1.334163856506347656e+01,-8.051876068115234375e+00,-1.501202583312988281e-02,-2.755014896392822266e-01
1.345000000000000107e+01,1.224724006652832031e+01,-7.441129684448242188e+00,-7.327365875244140625e-01,-3.054015636444091797e-01
1.346000000000000085e+01,1.333926010131835938e+01,-7.934117317199707031e+00,4.818439483642578125e-03,-2.689425945281982422e-01
1.347000000000000064e+01,1.224333572387695312e+01,-7.327711582183837891e+00,-7.090830802917480469e-01,-2.993419170379638672e-01
1.348000000000000043e+01,1.333360671997070312e+01,-7.811070442199707031e+00,2.127885818481445312e-02,-2.616558074951171875e-01
1.349000000000000021e+01,1.222973060607910156e+01,-7.213521957397460938e+00,-6.896591186523437500e-01,-2.930567264556884766e-01
1.350000000000000000e+01,1.332239151000976562e+01,-7.680032253265380859e+00,2.518415451049804688e-02,-2.526879310607910156e-01
1.350999999999999979e+01,1.221112728118896484e+01,-7.089949607849121094e+00,-6.861114501953125000e-01,-2.842671871185302734e-01
1.351999999999999957e+01,1.330431747436523438e+01,-7.541104316711425781e+00,2.054929733276367188e-02,-2.422633171081542969e-01
1.353000000000000114e+01,1.218659877777099609e+01,-6.960844039916992188e+00,-6.847953796386718750e-01,-2.748820781707763672e-01
1.354000000000000092e+01,1.327378082275390625e+01,-7.405842781066894531e+00,-2.384185791015625000e-03,-2.312784194946289062e-01
1.355000000000000071e+01,1.215716361999511719e+01,-6.829215049743652344e+00,-6.786692142486572266e-01,-2.657001018524169922e-01
1.356000000000000050e+01,1.322605895996093750e+01,-7.278074264526367188e+00,-1.671075820922851562e-02,-2.224946022033691406e-01
1.357000000000000028e+01,1.212475299835205078e+01,-6.698157787322998047e+00,-6.771850585937500000e-01,-2.562794685363769531e-01
1.358000000000000007e+01,1.316788673400878906e+01,-7.150516510009765625e+00,-1.960277557373046875e-02,-2.147362232208251953e-01
1.358999999999999986e+01,1.207103729248046875e+01,-6.581242084503173828e+00,-6.677126884460449219e-01,-2.489356994628906250e-01
1.359999999999999964e+01,1.310090541839599609e+01,-7.021478652954101562e+00,-2.143979072570800781e-02,-2.074580192565917969e-01
1.360999999999999943e+01,1.200887203216552734e+01,-6.455774307250976562e+00,-6.534993648529052734e-01,-2.402412891387939453e-01
1.362000000000000099e+01,1.303084564208984375e+01,-6.877298355102539062e+00,-1.573801040649414062e-02,-1.999347209930419922e-01
1.363000000000000078e+01,1.193720626831054688e+01,-6.296711921691894531e+00,-6.537890434265136719e-01,-2.312374114990234375e-01
1.364000000000000057e+01,1.295478630065917969e+01,-6.731367111206054688e+00,-2.114772796630859375e-03,-1.920523643493652344e-01
1.365000000000000036e+01,1.185802459716796875e+01,-6.134552955627441406e+00,-6.544518470764160156e-01,-2.221314907073974609e-01
1.366000000000000014e+01,1.286730003356933594e+01,-6.588917732238769531e+00,1.536130905151367188e-02,-1.833357810974121094e-01
1.366999999999999993e+01,1.176962661743164062e+01,-5.970752239227294922e+00,-6.536507606506347656e-01,-2.129266262054443359e-01
1.367999999999999972e+01,1.276912689208984375e+01,-6.411831378936767578e+00,1.500844955444335938e-02,-1.739358901977539062e-01
1.368999999999999950e+01,1.167056846618652344e+01,-5.808694362640380859e+00,-6.507146358489990234e-01,-2.030839920043945312e-01
1.370000000000000107e+01,1.265547275543212891e+01,-6.222107410430908203e+00,-2.777576446533203125e-03,-1.649298667907714844e-01
1.371000000000000085e+01,1.156075286865234375e+01,-5.651258468627929688e+00,-6.459796428680419922e-01,-1.927843093872070312e-01
1.372000000000000064e+01,1.252904129028320312e+01,-6.028136253356933594e+00,-2.409458160400390625e-02,-1.560146808624267578e-01
