x,y,value
-0.101695,-2.084746,10.858372
-0.025424,-2.084746,9.446625
0.050847,-2.084746,7.952637
0.127119,-2.084746,6.478788
0.203390,-2.084746,5.421791
0.279661,-2.084746,4.471561
0.355932,-2.084746,3.521335
0.432203,-2.084746,2.571113
0.508474,-2.084746,1.907326
0.584746,-2.084746,1.247387
0.661017,-2.084746,0.665703
0.737288,-2.084746,0.142837
0.813559,-2.084746,-0.521176
0.889830,-2.084746,-2.031750
0.966102,-2.084746,-3.928314
1.042373,-2.084746,-5.871773
1.118644,-2.084746,-7.721386
1.194915,-2.084746,-9.571026
1.271186,-2.084746,-11.393284
1.347457,-2.084746,-13.197330
1.423728,-2.084746,-14.969536
1.500000,-2.084746,-16.741756
-3.000000,-2.008475,-2.972885
-2.923729,-2.008475,-1.356377
-2.847458,-2.008475,0.262630
-2.771186,-2.008475,1.886680
-2.694915,-2.008475,3.068920
-2.618644,-2.008475,3.843368
-2.542373,-2.008475,4.636906
-2.466102,-2.008475,5.475403
-2.389831,-2.008475,6.313953
-2.313559,-2.008475,7.152504
-2.237288,-2.008475,7.989838
-2.161017,-2.008475,8.817379
-2.084746,-2.008475,9.680141
-2.008475,-2.008475,10.139233
-1.932203,-2.008475,10.598366
-1.855932,-2.008475,11.057541
-1.779661,-2.008475,11.528860
-1.703390,-2.008475,12.004169
