time,t1,t2,t3,t4
1.049000000000000021e+01,3.485456228256225586e+00,3.883658409118652344e+00,3.435155391693115234e+00,3.581420660018920898e+00
1.050000000000000000e+01,3.717177391052246094e+00,3.723529815673828125e+00,3.485702514648437500e+00,3.570946216583251953e+00
1.050999999999999979e+01,3.444826602935791016e+00,3.958423614501953125e+00,3.406946659088134766e+00,3.625183343887329102e+00
1.051999999999999957e+01,3.677301168441772461e+00,3.794784069061279297e+00,3.480508327484130859e+00,3.588963747024536133e+00
1.052999999999999936e+01,3.410639524459838867e+00,4.027292251586914062e+00,3.410300254821777344e+00,3.632128000259399414e+00
1.054000000000000092e+01,3.656552314758300781e+00,3.845292568206787109e+00,3.507187366485595703e+00,3.571684360504150391e+00
1.055000000000000071e+01,3.406020641326904297e+00,4.065999031066894531e+00,3.442877769470214844e+00,3.611448049545288086e+00
1.056000000000000050e+01,3.673973798751831055e+00,3.863543748855590820e+00,3.555353641510009766e+00,3.536152839660644531e+00
1.057000000000000028e+01,3.443224191665649414e+00,4.064398765563964844e+00,3.488375186920166016e+00,3.583185434341430664e+00
1.058000000000000007e+01,3.731001853942871094e+00,3.829201698303222656e+00,3.595897912979125977e+00,3.495590209960937500e+00
1.058999999999999986e+01,3.508529186248779297e+00,4.018884658813476562e+00,3.517466306686401367e+00,3.559915304183959961e+00
1.059999999999999964e+01,3.807709693908691406e+00,3.775396585464477539e+00,3.622976779937744141e+00,3.473851919174194336e+00
1.060999999999999943e+01,3.583525419235229492e+00,3.957854509353637695e+00,3.528259277343750000e+00,3.556054592132568359e+00
1.062000000000000099e+01,3.870112895965576172e+00,3.741187810897827148e+00,3.630941867828369141e+00,3.483065605163574219e+00
1.063000000000000078e+01,3.636012315750122070e+00,3.937067747116088867e+00,3.522399187088012695e+00,3.588429212570190430e+00
1.064000000000000057e+01,3.892693996429443359e+00,3.740430593490600586e+00,3.611951589584350586e+00,3.518004179000854492e+00
1.065000000000000036e+01,3.641253709793090820e+00,3.966613292694091797e+00,3.496802330017089844e+00,3.643402814865112305e+00
1.066000000000000014e+01,3.878700017929077148e+00,3.792473793029785156e+00,3.592661380767822266e+00,3.567940711975097656e+00
1.066999999999999993e+01,3.610447406768798828e+00,4.044558525085449219e+00,3.474129199981689453e+00,3.701618671417236328e+00
1.067999999999999972e+01,3.834553241729736328e+00,3.875936985015869141e+00,3.580913782119750977e+00,3.606921672821044922e+00
1.068999999999999950e+01,3.564165353775024414e+00,4.132941246032714844e+00,3.462973356246948242e+00,3.735811233520507812e+00
1.070000000000000107e+01,3.778864383697509766e+00,3.962122201919555664e+00,3.582481145858764648e+00,3.616782426834106445e+00
1.071000000000000085e+01,3.533643960952758789e+00,4.181205749511718750e+00,3.462754964828491211e+00,3.733052492141723633e+00
1.072000000000000064e+01,3.753809213638305664e+00,3.991299629211425781e+00,3.593158483505249023e+00,3.594720840454101562e+00
1.073000000000000043e+01,3.531344890594482422e+00,4.179020881652832031e+00,3.475325345993041992e+00,3.701259136199951172e+00
