time,Fz,Mx,My,Mz
4.870000000000000107e+00,1.256262874603271484e+01,-2.812612988054752350e-02,4.544270690530538559e-03,-1.077517285011708736e-03
4.879999999999999893e+00,1.319979381561279297e+01,1.772943139076232910e-02,-1.765679940581321716e-02,1.566981780342757702e-03
4.889999999999999680e+00,1.260340690612792969e+01,-2.727170288562774658e-02,6.963361520320177078e-03,-9.892656235024333000e-04
4.900000000000000355e+00,1.324692916870117188e+01,1.788383908569812775e-02,-1.525947637856006622e-02,1.656740088947117329e-03
4.910000000000000142e+00,1.264233493804931641e+01,-2.659691311419010162e-02,9.771701879799365997e-03,-1.041495008394122124e-03
4.919999999999999929e+00,1.328194999694824219e+01,1.759240962564945221e-02,-1.270619221031665802e-02,1.667421776801347733e-03
4.929999999999999716e+00,1.269217967987060547e+01,-2.719578146934509277e-02,1.298706885427236557e-02,-1.280097407288849354e-03
4.940000000000000391e+00,1.327403545379638672e+01,1.728025637567043304e-02,-9.967543184757232666e-03,1.283145626075565815e-03
4.950000000000000178e+00,1.270475578308105469e+01,-2.748318389058113098e-02,1.639461331069469452e-02,-1.645407988689839840e-03
4.959999999999999964e+00,1.319595527648925781e+01,1.786624826490879059e-02,-7.106956560164690018e-03,7.508752751164138317e-04
4.969999999999999751e+00,1.264354515075683594e+01,-2.595518901944160461e-02,2.008610777556896210e-02,-2.458279486745595932e-03
4.980000000000000426e+00,1.309920787811279297e+01,2.001914009451866150e-02,-4.580530337989330292e-03,9.577586752129718661e-05
4.990000000000000213e+00,1.257291126251220703e+01,-2.293975464999675751e-02,2.341841533780097961e-02,-3.366749500855803490e-03
5.000000000000000000e+00,1.303012275695800781e+01,2.272633276879787445e-02,-2.683609724044799805e-03,-4.889184492640197277e-04
5.009999999999999787e+00,1.256003952026367188e+01,-1.933986879885196686e-02,2.606678009033203125e-02,-4.577475599944591522e-03
5.020000000000000462e+00,1.302066135406494141e+01,2.598263137042522430e-02,-1.341314753517508507e-03,-1.387771917507052422e-03
5.030000000000000249e+00,1.261498355865478516e+01,-1.547687407582998276e-02,2.768139727413654327e-02,-6.043144501745700836e-03
5.040000000000000036e+00,1.306354618072509766e+01,2.905423194169998169e-02,-3.411826355659286492e-06,-3.121892223134636879e-03
5.049999999999999822e+00,1.264551162719726562e+01,-1.250403374433517456e-02,2.960507385432720184e-02,-7.638162001967430115e-03
5.060000000000000497e+00,1.309964561462402344e+01,3.121801093220710754e-02,1.175363664515316486e-03,-4.386822693049907684e-03
5.070000000000000284e+00,1.264552497863769531e+01,-1.024535484611988068e-02,3.092107176780700684e-02,-8.386334404349327087e-03
5.080000000000000071e+00,1.313373661041259766e+01,3.251287713646888733e-02,1.612628693692386150e-03,-4.312530625611543655e-03
5.089999999999999858e+00,1.264453125000000000e+01,-8.934651501476764679e-03,3.152302652597427368e-02,-8.533542044460773468e-03
5.100000000000000533e+00,1.316430282592773438e+01,3.339501842856407166e-02,6.004520109854638577e-04,-2.833039732649922371e-03
5.110000000000000320e+00,1.266620540618896484e+01,-8.395596407353878021e-03,3.107474371790885925e-02,-7.862878963351249695e-03
5.120000000000000107e+00,1.319708347320556641e+01,3.402325510978698730e-02,-1.238617114722728729e-03,-1.083809300325810909e-03
5.129999999999999893e+00,1.263722515106201172e+01,-7.270927540957927704e-03,2.958372049033641815e-02,-6.694062147289514542e-03
5.139999999999999680e+00,1.319647979736328125e+01,3.378824517130851746e-02,-3.918150439858436584e-03,5.354155437089502811e-04
