time,x,y,z,velocity,ref_x,ref_y,ref_z
17.30976676940918,60.0373420715332,32.23556137084961,16.751171112060547,4.687688551776137,55.85949993133545,32.74790000915527,16.507799983024597
17.319904565811157,60.001529693603516,32.20459747314453,16.754146575927734,4.679147364172938,55.85949993133545,32.74790000915527,16.507799983024597
17.32972025871277,59.965789794921875,32.174224853515625,16.75704574584961,4.619064152670057,55.85949993133545,32.74790000915527,16.507799983024597
17.34062385559082,59.93013000488281,32.14436340332031,16.759843826293945,4.6078484648717755,55.849324861261266,32.742416308421525,16.508729525927265
17.351168632507324,59.89445114135742,32.114864349365234,16.762737274169922,4.5607172594907,55.69640016555786,32.65999984741211,16.52269995212555
17.360005378723145,59.85931396484375,32.08639144897461,16.76542091369629,4.525147676171981,55.69640016555786,32.65999984741211,16.52269995212555
17.370084047317505,59.822296142578125,32.05672836303711,16.76842498779297,4.493729876756391,55.69640016555786,32.65999984741211,16.52269995212555
17.380208253860474,59.787837982177734,32.029685974121094,16.77115821838379,4.456714847743749,55.69640016555786,32.65999984741211,16.52269995212555
17.392725706100464,59.787837982177734,32.029685974121094,16.77115821838379,4.456714847743749,55.65180762248839,32.63680417105525,16.526843030545137
17.400266647338867,59.71696472167969,31.975570678710938,16.776554107666016,4.392276431578036,55.53280019760132,32.57490015029907,16.5378999710083
17.412026405334473,59.680789947509766,31.948732376098633,16.77932357788086,4.348094553768216,55.53280019760132,32.57490015029907,16.5378999710083
17.420352458953857,59.646728515625,31.92388153076172,16.78177261352539,4.3105477444634825,55.53280019760132,32.57490015029907,16.5378999710083
17.429837703704834,59.61042785644531,31.897937774658203,16.784526824951172,4.286808242093636,55.53280019760132,32.57490015029907,16.5378999710083
17.43974018096924,59.57609176635742,31.873615264892578,16.7867488861084,4.234506295112665,55.53280019760132,32.57490015029907,16.5378999710083
17.45457124710083,59.57609176635742,31.873615264892578,16.7867488861084,4.234506295112665,55.36870002746582,32.49250030517578,16.55340003967285
17.45988392829895,59.506439208984375,31.825654983520508,16.791240692138672,4.18350198766619,55.36870002746582,32.49250030517578,16.55340003967285
17.469671487808228,59.47199630737305,31.802797317504883,16.793411254882812,4.138395146014698,55.36870002746582,32.49250030517578,16.55340003967285
17.47986364364624,59.43701934814453,31.77995491027832,16.79557228088379,4.1038876722849995,55.36870002746582,32.49250030517578,16.55340003967285
17.489869832992554,59.402217864990234,31.75782585144043,16.797813415527344,4.081562981064357,55.36870002746582,32.49250030517578,16.55340003967285
17.499938249588013,59.36774444580078,31.736419677734375,16.799915313720703,4.02769561652786,55.20531510415276,32.41349102381173,16.569102473263683
17.509960412979126,59.33373260498047,31.715810775756836,16.801816940307617,4.002614910170647,55.20429992675781,32.41300010681152,16.569200038909912
17.519750118255615,59.298789978027344,31.695201873779297,16.804018020629883,3.9801543366520393,55.20429992675781,32.41300010681152,16.569200038909912
17.529825687408447,59.264381408691406,31.675399780273438,16.80599594116211,3.9294611153370806,55.20429992675781,32.41300010681152,16.569200038909912
17.53988552093506,59.23046112060547,31.656450271606445,16.807846069335938,3.898849374289618,55.20429992675781,32.41300010681152,16.569200038909912
17.549691677093506,59.19625473022461,31.637800216674805,16.809797286987305,3.873362591816189,55.04467797471172,32.33856769103841,16.584900503857398
17.559683561325073,59.16151428222656,31.619564056396484,16.811689376831055,3.841000526080329,55.039599895477295,32.33619976043701,16.585399985313416
17.569713830947876,59.1278076171875,31.602323532104492,16.813430786132812,3.80200263185873,55.039599895477295,32.33619976043701,16.585399985313416
17.579702615737915,59.09321975708008,31.58525276184082,16.81536865234375,3.7895289688999747,55.039599895477295,32.33619976043701,16.585399985313416
17.590148210525513,59.059078216552734,31.568899154663086,16.817241668701172,3.7511424245790854,55.037155906489716,32.335105965469666,16.58564305027278
17.599687337875366,59.02498245239258,31.553199768066406,16.81890296936035,3.7135344449565837,54.87985586242396,32.2647071226611,16.601287199658483
17.609744787216187,58.99104309082031,31.5380916595459,16.82063865661621,3.6986538016216923,54.87470006942749,32.262399673461914,16.601799964904785
17.619723320007324,58.9560546875,31.523162841796875,16.82248878479004,3.6696366957956856,54.87470006942749,32.262399673461914,16.601799964904785
17.62969470024109,58.923465728759766,31.509782791137695,16.824020385742188,3.6447002058035136,54.87470006942749,32.262399673461914,16.601799964904785
17.639779329299927,58.888607025146484,31.495887756347656,16.82529640197754,3.6116338167381667,54.87470006942749,32.262399673461914,16.601799964904785
17.650756120681763,58.85541915893555,31.483240127563477,16.82664680480957,3.601974410659876,54.70959997177124,32.191399574279785,16.61839997768402
17.659706354141235,58.82161331176758,31.470905303955078,16.827861785888672,3.559921221300479,54.70959997177124,32.191399574279785,16.61839997768402
17.671106100082397,58.787933349609375,31.45923614501953,16.82900047302246,3.548042989150167,54.70959997177124,32.191399574279785,16.61839997768402
