time,vx,vy,vz,psi_dot
9.990000000000000213e+00,-2.085372209548950195e+00,6.687960624694824219e+00,9.620475769042968750e-01,2.271032333374023438e-01
1.000000000000000000e+01,-1.834280490875244141e+00,8.203654289245605469e+00,1.817271709442138672e+00,1.893014907836914062e-01
1.000999999999999979e+01,-2.792817354202270508e+00,6.685588359832763672e+00,1.016566753387451172e+00,2.171697616577148438e-01
1.001999999999999957e+01,-2.643123865127563477e+00,8.206543922424316406e+00,1.790497303009033203e+00,1.717114448547363281e-01
1.002999999999999936e+01,-3.509672880172729492e+00,6.691153049468994141e+00,1.023719310760498047e+00,2.014799118041992188e-01
1.004000000000000092e+01,-3.449022769927978516e+00,8.195379257202148438e+00,1.700613498687744141e+00,1.612439155578613281e-01
1.005000000000000071e+01,-4.199548721313476562e+00,6.702461242675781250e+00,9.526634216308593750e-01,1.910457611083984375e-01
1.006000000000000050e+01,-4.233712196350097656e+00,8.187400817871093750e+00,1.522996425628662109e+00,1.534643173217773438e-01
1.007000000000000028e+01,-4.794251918792724609e+00,6.779866218566894531e+00,8.739686012268066406e-01,1.854209899902343750e-01
1.008000000000000007e+01,-4.847670555114746094e+00,8.246801376342773438e+00,1.424562931060791016e+00,1.427826881408691406e-01
1.008999999999999986e+01,-5.308770179748535156e+00,6.887619495391845703e+00,8.063697814941406250e-01,1.768531799316406250e-01
1.009999999999999964e+01,-5.398086547851562500e+00,8.314547538757324219e+00,1.250791549682617188e+00,1.344976425170898438e-01
1.010999999999999943e+01,-5.761406421661376953e+00,6.972954273223876953e+00,6.676959991455078125e-01,1.701664924621582031e-01
1.012000000000000099e+01,-5.866399765014648438e+00,8.317621231079101562e+00,1.072776317596435547e+00,1.275715827941894531e-01
1.013000000000000078e+01,-6.148462295532226562e+00,7.036483287811279297e+00,4.318666458129882812e-01,1.663179397583007812e-01
1.014000000000000057e+01,-6.275343894958496094e+00,8.383684158325195312e+00,7.815003395080566406e-01,1.274480819702148438e-01
1.015000000000000036e+01,-6.440707206726074219e+00,7.111327648162841797e+00,1.311659812927246094e-01,1.676149368286132812e-01
1.016000000000000014e+01,-6.651100158691406250e+00,8.462996482849121094e+00,4.591274261474609375e-01,1.277146339416503906e-01
1.016999999999999993e+01,-6.772286891937255859e+00,7.175538539886474609e+00,-2.275347709655761719e-01,1.705913543701171875e-01
1.017999999999999972e+01,-7.010631561279296875e+00,8.504867553710937500e+00,1.132011413574218750e-01,1.288237571716308594e-01
1.018999999999999950e+01,-7.056605815887451172e+00,7.228295803070068359e+00,-5.629205703735351562e-01,1.721358299255371094e-01
1.020000000000000107e+01,-7.390185356140136719e+00,8.523235321044921875e+00,-2.008891105651855469e-01,1.291456222534179688e-01
1.021000000000000085e+01,-7.337861061096191406e+00,7.264740467071533203e+00,-8.724260330200195312e-01,1.724882125854492188e-01
1.022000000000000064e+01,-7.746679782867431641e+00,8.525032997131347656e+00,-4.788792133331298828e-01,1.262006759643554688e-01
1.023000000000000043e+01,-7.604281902313232422e+00,7.294180393218994141e+00,-1.105527877807617188e+00,1.687932014465332031e-01
1.024000000000000021e+01,-8.068309783935546875e+00,8.541007041931152344e+00,-6.786751747131347656e-01,1.181249618530273438e-01
1.025000000000000000e+01,-7.832723617553710938e+00,7.339951992034912109e+00,-1.218217611312866211e+00,1.568322181701660156e-01
1.025999999999999979e+01,-8.364968299865722656e+00,8.554553985595703125e+00,-7.655167579650878906e-01,1.028275489807128906e-01
1.026999999999999957e+01,-8.037047386169433594e+00,7.383494377136230469e+00,-1.295921802520751953e+00,1.413974761962890625e-01
1.027999999999999936e+01,-8.651328086853027344e+00,8.573484420776367188e+00,-8.441615104675292969e-01,8.186817169189453125e-02
1.029000000000000092e+01,-8.234865188598632812e+00,7.437431812286376953e+00,-1.373633146286010742e+00,1.208758354187011719e-01
1.030000000000000071e+01,-8.878396987915039062e+00,8.604076385498046875e+00,-9.283757209777832031e-01,6.237936019897460938e-02
1.031000000000000050e+01,-8.375600814819335938e+00,7.496609687805175781e+00,-1.434696912765502930e+00,1.020936965942382812e-01
1.032000000000000028e+01,-9.061357498168945312e+00,8.628916740417480469e+00,-1.010864973068237305e+00,4.446458816528320312e-02
1.033000000000000007e+01,-8.487200736999511719e+00,7.567791938781738281e+00,-1.513051986694335938e+00,8.627653121948242188e-02
1.033999999999999986e+01,-9.233880996704101562e+00,8.684549331665039062e+00,-1.160507202148437500e+00,3.186511993408203125e-02
1.034999999999999964e+01,-8.594960212707519531e+00,7.661833763122558594e+00,-1.644810438156127930e+00,7.456874847412109375e-02
1.035999999999999943e+01,-9.382106781005859375e+00,8.745460510253906250e+00,-1.285600662231445312e+00,2.054882049560546875e-02
1.037000000000000099e+01,-8.667615890502929688e+00,7.741618156433105469e+00,-1.761794090270996094e+00,6.503915786743164062e-02
1.038000000000000078e+01,-9.486756324768066406e+00,8.805749893188476562e+00,-1.339232921600341797e+00,8.767604827880859375e-03
1.039000000000000057e+01,-8.705739974975585938e+00,7.819168567657470703e+00,-1.814854145050048828e+00,5.491399765014648438e-02
1.040000000000000036e+01,-9.640632629394531250e+00,8.851752281188964844e+00,-1.465942859649658203e+00,-1.759767532348632812e-03
1.041000000000000014e+01,-8.798217773437500000e+00,7.878813743591308594e+00,-1.936330795288085938e+00,4.570436477661132812e-02
1.041999999999999993e+01,-9.780235290527343750e+00,8.872650146484375000e+00,-1.543289422988891602e+00,-1.367878913879394531e-02
1.042999999999999972e+01,-8.908454895019531250e+00,7.954156398773193359e+00,-2.018369436264038086e+00,3.602933883666992188e-02
1.043999999999999950e+01,-9.957544326782226562e+00,8.925027847290039062e+00,-1.611708402633666992e+00,-2.522110939025878906e-02
1.045000000000000107e+01,-9.033172607421875000e+00,8.030279159545898438e+00,-2.060353755950927734e+00,2.539443969726562500e-02
1.046000000000000085e+01,-1.011123657226562500e+01,8.967671394348144531e+00,-1.656237840652465820e+00,-3.697705268859863281e-02
1.047000000000000064e+01,-9.156905174255371094e+00,8.080041885375976562e+00,-2.086464166641235352e+00,1.472234725952148438e-02
1.048000000000000043e+01,-1.024250507354736328e+01,8.996049880981445312e+00,-1.689296960830688477e+00,-4.855895042419433594e-02
1.049000000000000021e+01,-9.274927139282226562e+00,8.122653961181640625e+00,-2.127877473831176758e+00,4.194736480712890625e-03
1.050000000000000000e+01,-1.037413120269775391e+01,8.999223709106445312e+00,-1.679109334945678711e+00,-6.130456924438476562e-02
1.050999999999999979e+01,-9.371412277221679688e+00,8.147230148315429688e+00,-2.131891250610351562e+00,-7.451057434082031250e-03
1.051999999999999957e+01,-1.049028587341308594e+01,8.963804244995117188e+00,-1.607862710952758789e+00,-7.532978057861328125e-02
1.052999999999999936e+01,-9.449626922607421875e+00,8.089487075805664062e+00,-2.128516435623168945e+00,-1.622271537780761719e-02
1.054000000000000092e+01,-1.058820152282714844e+01,8.907291412353515625e+00,-1.503462791442871094e+00,-8.948779106140136719e-02
1.055000000000000071e+01,-9.532242774963378906e+00,8.027002334594726562e+00,-2.064402103424072266e+00,-2.714490890502929688e-02
1.056000000000000050e+01,-1.067913436889648438e+01,8.820093154907226562e+00,-1.353639364242553711e+00,-1.041331291198730469e-01
1.057000000000000028e+01,-9.583702087402343750e+00,7.949182987213134766e+00,-1.929719448089599609e+00,-3.853034973144531250e-02
1.058000000000000007e+01,-1.076630020141601562e+01,8.698017120361328125e+00,-1.192765235900878906e+00,-1.170063018798828125e-01
1.058999999999999986e+01,-9.627881050109863281e+00,7.838284969329833984e+00,-1.774923801422119141e+00,-4.828810691833496094e-02
1.059999999999999964e+01,-1.084542274475097656e+01,8.541833877563476562e+00,-1.029888391494750977e+00,-1.274058818817138672e-01
1.060999999999999943e+01,-9.664792060852050781e+00,7.692999839782714844e+00,-1.619697809219360352e+00,-5.545186996459960938e-02
1.062000000000000099e+01,-1.092023468017578125e+01,8.352055549621582031e+00,-8.660912513732910156e-01,-1.351850032806396484e-01
1.063000000000000078e+01,-9.697839736938476562e+00,7.513911724090576172e+00,-1.465187072753906250e+00,-6.043338775634765625e-02
1.064000000000000057e+01,-1.098939418792724609e+01,8.116628646850585938e+00,-7.088947296142578125e-01,-1.398000717163085938e-01
1.065000000000000036e+01,-9.748657226562500000e+00,7.282953262329101562e+00,-1.355259418487548828e+00,-6.130814552307128906e-02
